iter	Passed	Remaining
0	124	51069
1	133	27162
2	147	19946
3	160	16262
4	173	14062
5	187	12593
6	199	11514
7	213	10716
8	227	10118
9	240	9601
10	252	9161
11	265	8821
12	278	8507
13	290	8218
14	302	7967
15	315	7777
16	329	7623
17	342	7457
18	354	7295
19	367	7169
20	380	7055
21	392	6922
22	405	6822
23	417	6718
24	424	6538
25	438	6478
26	451	6399
27	463	6326
28	476	6260
29	489	6199
30	495	6060
31	509	6012
32	521	5960
33	534	5915
34	548	5874
35	561	5828
36	573	5780
37	586	5739
38	599	5702
39	612	5666
40	625	5632
41	639	5600
42	651	5562
43	664	5527
44	676	5490
45	690	5460
46	702	5426
47	716	5400
48	729	5375
49	743	5349
50	756	5327
51	770	5303
52	783	5278
53	796	5252
54	809	5224
55	821	5196
56	834	5167
57	847	5144
58	860	5120
59	873	5095
60	886	5072
61	904	5076
62	918	5058
63	932	5040
64	945	5017
65	958	4997
66	972	4977
67	985	4958
68	999	4938
69	1012	4915
70	1025	4894
71	1037	4870
72	1050	4849
73	1063	4828
74	1075	4804
75	1088	4783
76	1102	4766
77	1115	4749
78	1129	4731
79	1142	4714
80	1156	4698
81	1170	4680
82	1183	4663
83	1197	4648
84	1210	4629
85	1224	4612
86	1231	4570
87	1244	4553
88	1258	4538
89	1271	4522
90	1285	4505
91	1298	4487
92	1310	4466
93	1324	4452
94	1338	4437
95	1351	4420
96	1365	4405
97	1378	4390
98	1391	4371
99	1404	4354
100	1417	4337
101	1431	4321
102	1444	4304
103	1456	4286
104	1470	4271
105	1482	4252
106	1495	4235
107	1509	4220
108	1522	4204
109	1534	4186
110	1547	4167
111	1559	4148
112	1573	4135
113	1585	4117
114	1598	4100
115	1611	4084
116	1625	4071
117	1638	4054
118	1650	4037
119	1664	4023
120	1678	4009
121	1692	3995
122	1705	3980
123	1719	3965
124	1732	3949
125	1746	3935
126	1759	3920
127	1772	3905
128	1786	3890
129	1798	3873
130	1811	3858
131	1826	3846
132	1842	3836
133	1857	3825
134	1873	3815
135	1887	3803
136	1902	3790
137	1916	3777
138	1929	3762
139	1943	3748
140	1958	3735
141	1972	3722
142	1986	3708
143	2000	3695
144	2015	3683
145	2029	3669
146	2043	3655
147	2056	3640
148	2071	3628
149	2085	3614
150	2099	3600
151	2113	3586
152	2126	3572
153	2139	3557
154	2152	3541
155	2166	3527
156	2180	3514
157	2195	3501
158	2209	3487
159	2222	3472
160	2235	3457
161	2249	3442
162	2262	3428
163	2275	3413
164	2289	3400
165	2304	3387
166	2318	3373
167	2331	3357
168	2344	3342
169	2356	3326
170	2369	3311
171	2382	3297
172	2396	3283
173	2410	3268
174	2422	3253
175	2435	3238
176	2449	3224
177	2462	3209
178	2476	3195
179	2489	3180
180	2502	3166
181	2515	3150
182	2528	3135
183	2541	3121
184	2554	3106
185	2567	3092
186	2581	3078
187	2595	3065
188	2609	3051
189	2623	3038
190	2639	3026
191	2653	3012
192	2666	2997
193	2679	2983
194	2692	2968
195	2705	2953
196	2718	2939
197	2732	2925
198	2745	2911
199	2758	2896
200	2771	2881
201	2784	2866
202	2796	2851
203	2809	2836
204	2821	2821
205	2835	2807
206	2847	2792
207	2860	2778
208	2875	2765
209	2888	2750
210	2901	2736
211	2914	2722
212	2927	2707
213	2940	2693
214	2952	2678
215	2965	2663
216	2977	2648
217	2990	2633
218	3003	2619
219	3016	2605
220	3031	2592
221	3043	2577
222	3058	2564
223	3071	2550
224	3083	2535
225	3096	2521
226	3109	2506
227	3121	2491
228	3135	2478
229	3148	2463
230	3161	2449
231	3174	2435
232	3187	2421
233	3199	2406
234	3211	2391
235	3224	2377
236	3235	2362
237	3249	2348
238	3262	2334
239	3275	2319
240	3288	2305
241	3301	2291
242	3314	2277
243	3327	2263
244	3339	2249
245	3352	2235
246	3365	2220
247	3378	2207
248	3392	2193
249	3406	2179
250	3419	2166
251	3432	2152
252	3446	2138
253	3458	2124
254	3470	2109
255	3483	2095
256	3495	2081
257	3508	2066
258	3520	2052
259	3533	2038
260	3546	2024
261	3558	2010
262	3571	1995
263	3583	1981
264	3595	1967
265	3607	1953
266	3620	1939
267	3633	1925
268	3645	1911
269	3659	1897
270	3671	1883
271	3683	1868
272	3695	1854
273	3708	1840
274	3723	1827
275	3737	1814
276	3750	1800
277	3763	1786
278	3776	1773
279	3790	1759
280	3804	1746
281	3817	1732
282	3830	1718
283	3844	1705
284	3857	1691
285	3870	1678
286	3883	1664
287	3896	1650
288	3909	1636
289	3922	1623
290	3936	1609
291	3949	1595
292	3962	1582
293	3975	1568
294	3987	1554
295	4000	1540
296	4014	1527
297	4026	1513
298	4040	1499
299	4053	1486
300	4066	1472
301	4080	1459
302	4093	1445
303	4106	1431
304	4120	1418
305	4134	1405
306	4147	1391
307	4160	1377
308	4173	1364
309	4186	1350
310	4198	1336
311	4211	1322
312	4223	1308
313	4236	1295
314	4248	1281
315	4261	1267
316	4274	1253
317	4286	1240
318	4300	1226
319	4313	1213
320	4325	1199
321	4338	1185
322	4350	1171
323	4362	1158
324	4375	1144
325	4388	1130
326	4400	1117
327	4413	1103
328	4427	1090
329	4441	1076
330	4453	1063
331	4466	1049
332	4478	1035
333	4490	1021
334	4502	1008
335	4515	994
336	4528	981
337	4547	968
338	4560	955
339	4573	941
340	4586	927
341	4599	914
342	4613	901
343	4626	887
344	4639	874
345	4651	860
346	4663	846
347	4676	833
348	4688	819
349	4701	805
350	4713	792
351	4725	778
352	4739	765
353	4752	751
354	4765	738
355	4778	724
356	4792	711
357	4804	697
358	4816	684
359	4829	670
360	4842	657
361	4854	643
362	4866	630
363	4879	616
364	4891	603
365	4903	589
366	4915	575
367	4928	562
368	4941	549
369	4955	535
370	4968	522
371	4981	508
372	4993	495
373	5005	481
374	5018	468
375	5031	454
376	5044	441
377	5057	428
378	5072	414
379	5085	401
380	5097	388
381	5110	374
382	5122	361
383	5134	347
384	5147	334
385	5159	320
386	5171	307
387	5183	293
388	5196	280
389	5209	267
390	5221	253
391	5233	240
392	5246	226
393	5259	213
394	5271	200
395	5283	186
396	5296	173
397	5308	160
398	5321	146
399	5334	133
400	5347	120
401	5361	106
402	5375	93
403	5389	80
404	5403	66
405	5417	53
406	5431	40
407	5447	26
408	5460	13
409	5474	0
